2020-12-02 3:2:23 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 3:2:23 -- SHH: Room #3 in Zone #1 temperature changed to 23.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 15.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 16.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 17.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 18.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 19.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 20.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 21.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.0°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.1°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.2°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.3°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.4°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.5°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.6°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.7°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.8°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 22.9°C
2020-12-02 3:2:23 -- SHH: Room #3 temperature changed to 23.0°C
2020-12-02 3:2:23 -- [Edit Context] -- A.C automatically triggered in living room.
2020-12-02 3:2:42 -- SHC -- AC turned off in Room #3 living room
2020-12-02 3:2:42 -- [Edit Context] -- A.C automatically deactivated in living room.
